customer_id,name,debit_card_number,debit_card_type,bank_name,transaction_date,amount_spent
486035,Bryan Hood,4820658719418688,JCB 16 digit,BOFA,2024-01-17,238.33
546262,Rhonda Stevens,4979492322652304,JCB 16 digit,BOFA,2024-01-30,709.27
961232,Karen Baxter,4304484419736,VISA 16 digit,BOFA,2024-02-09,116.09
542122,Bradley Wagner,4460676341350509330,Maestro,Citizens,2024-02-19,140.52
784868,Michael Gonzalez,676367172464,Discover,BOFA,2024-01-07,590.8
304057,Paige Smith,676244910540,VISA 16 digit,Citizens,2024-02-08,227.65
689689,Faith Rivera,213166602106033,Diners Club / Carte Blanche,Citizens,2024-02-04,363.88
324259,Phillip Sanders,4281660024763,Maestro,Citizens,2024-03-17,95.12
133329,Reginald Martinez,3595096586662721,VISA 13 digit,Citizens,2024-03-11,169.88
992236,Joshua Hernandez,6592141109400450,JCB 16 digit,TD Bank,2024-01-10,328.98
499293,Jennifer Valenzuela,4025896883532164,VISA 16 digit,Citizens,2024-02-17,572.96
543165,Alec Martinez,3545927397429853,VISA 16 digit,Citizens,2024-03-07,890.84
624350,Maurice Yates,344124021972065,JCB 16 digit,BOFA,2024-01-21,463.95
62962,Amy Smith,38653187776457,VISA 16 digit,TD Bank,2024-02-22,739.21
350199,Kathleen Stokes,4522968272276261,Maestro,JPMC,2024-02-23,384.48
861806,Eric Reynolds,374490310407326,JCB 16 digit,Citizens,2024-01-04,120.6
424377,Jennifer Anderson,2720774403879617,Mastercard,Citizens,2024-03-14,314.34
945504,Joseph Simpson,6011637492136935,JCB 16 digit,BOFA,2024-02-06,56.13
278704,Todd Luna,4992893289422305,VISA 16 digit,TD Bank,2024-01-01,671.46
75675,Laura George,4334105372779948,JCB 16 digit,TD Bank,2024-02-18,595.93
426927,Brandon Beck,3555639205700816,JCB 16 digit,TD Bank,2024-01-25,78.68
740429,Bradley Hawkins,4039067738592316,JCB 16 digit,TD Bank,2024-01-14,661.47
804494,Rita Williams,2287076300811577,Maestro,BOFA,2024-01-14,831.36
561391,Kayla Hayes,6011220975954247,Maestro,Citizens,2024-01-01,55.9
627565,Kimberly Strickland,6011658349237791,VISA 19 digit,BOFA,2024-01-04,503.76
469652,Jeanette Robbins,2246758554955032,VISA 16 digit,TD Bank,2024-01-24,163.03
792176,Andrew Williams,676344154189,JCB 15 digit,BOFA,2024-01-29,390.4
811961,Bruce Mcgrath,4918043376903,VISA 16 digit,TD Bank,2024-01-24,990.36
971564,Donna Mcgrath,3564120524193818,VISA 16 digit,BOFA,2024-01-07,146.18
277225,Margaret Cochran,4266779897975447,VISA 16 digit,JPMC,2024-03-06,41.58
132016,Jason Davis,3537184825915596,Mastercard,BOFA,2024-03-09,455.12
218243,Andrew Pena,6590324875401553,Mastercard,Citizens,2024-01-30,234.27
348928,Laura Nelson,4561332512947714,JCB 16 digit,JPMC,2024-03-10,205.99
650356,Christopher Duke,4177369493849838,Maestro,Citizens,2024-02-05,244.17
868884,Linda Chapman,30555011443287,JCB 16 digit,BOFA,2024-01-11,344.15
479367,Donald Jones MD,4800511201112,JCB 15 digit,Citizens,2024-03-16,36.66
19435,Ariel Smith,4854168557631011,JCB 15 digit,BOFA,2024-01-11,305.05
576532,Catherine Benitez,5402719624870612,Discover,Citizens,2024-01-21,722.26
421318,Joseph Guzman,6517127525448381,Mastercard,BOFA,2024-01-02,666.4
383971,Kelly Mccoy,3558582371660827,JCB 16 digit,TD Bank,2024-03-11,603.47
875880,Whitney Phillips,4863064562379718975,VISA 13 digit,TD Bank,2024-03-18,43.9
