customer_id,name,debit_card_number,debit_card_type,bank_name,transaction_date,amount_spent
654056,Tanya Freeman,30352108223149,Discover,BOFA,2024-01-10,252.98
174972,Daniel Cox,213123795467144,VISA 16 digit,JPMC,2024-03-17,273.16
969836,Peter Mccoy,6011290326086155,Discover,TD Bank,2024-01-29,551.1
499293,Jennifer Valenzuela,4025896883532164,VISA 16 digit,Citizens,2024-02-14,646.8
815594,David Lopez,502002394372,Maestro,JPMC,2024-01-24,66.67
205007,Kelly Burgess,30250561799920,VISA 13 digit,Citizens,2024-01-11,250.28
840369,Sandra Mccarty,4863323955447549,JCB 16 digit,JPMC,2024-03-03,859.73
78863,Daniel Sweeney,630451909885,Diners Club / Carte Blanche,JPMC,2024-01-23,639.48
724123,Mark Brooks,2289829510034119,JCB 15 digit,Citizens,2024-01-05,989.23
238386,Kristina Johnson MD,30122163373695,Mastercard,Citizens,2024-03-03,651.91
421318,Joseph Guzman,6517127525448381,Mastercard,BOFA,2024-01-26,888.32
304429,Colin Snyder,3594183634609671,JCB 16 digit,TD Bank,2024-02-28,35.33
115230,Robert Allen,4819795515119558,VISA 13 digit,BOFA,2024-02-19,620.66
592917,Angela Sanders,4118742657998,JCB 16 digit,TD Bank,2024-02-21,510.88
420756,Jennifer Smith,4586676807930,American Express,BOFA,2024-03-14,835.81
531691,Kevin Diaz,4833329847552,Maestro,Citizens,2024-03-14,753.62
469652,Jeanette Robbins,2246758554955032,VISA 16 digit,TD Bank,2024-01-17,748.04
277225,Margaret Cochran,4266779897975447,VISA 16 digit,JPMC,2024-03-18,573.35
296028,John Cooper Jr.,3500288367452257,JCB 16 digit,JPMC,2024-02-17,631.83
912507,Sara Rodriguez,6588071655754974,JCB 16 digit,TD Bank,2024-02-09,662.44
998479,Brianna Allen,2224598700012619,JCB 16 digit,TD Bank,2024-02-10,766.04
774463,Patrick Jones,4302518411133489,VISA 16 digit,BOFA,2024-03-18,597.84
665505,Todd Turner,4033434014811024,Mastercard,BOFA,2024-01-20,341.38
917085,Tracy Shah,4663563382275,American Express,TD Bank,2024-02-12,237.76
118263,Wanda Johnson,4102732964424,Diners Club / Carte Blanche,TD Bank,2024-01-06,486.12
544526,Amy Duncan,2248834829632330,JCB 15 digit,TD Bank,2024-01-12,422.5
260754,Alexa White,376138890273612,JCB 16 digit,BOFA,2024-01-13,88.65
171948,Tim Medina,2249472281247518,JCB 16 digit,BOFA,2024-01-08,864.98
64822,Tammy Williamson,213137519731635,American Express,JPMC,2024-02-27,928.61
531691,Kevin Diaz,4833329847552,Maestro,Citizens,2024-01-20,43.46
547038,Shannon Morris,4067643094084,American Express,JPMC,2024-02-28,320.19
460034,Richard Stewart,3510728238210085,Maestro,JPMC,2024-03-11,961.76
542122,Bradley Wagner,4460676341350509330,Maestro,Citizens,2024-02-05,153.82
864992,Donna Johnson,3588994078175369,VISA 19 digit,JPMC,2024-03-17,65.0
629001,Tammy Kemp,4020971469548280805,Mastercard,BOFA,2024-03-14,72.93
777315,Troy Walton,3513889406070706,Diners Club / Carte Blanche,Citizens,2024-02-11,270.85
394954,Kevin Elliott,4352763048908,Diners Club / Carte Blanche,TD Bank,2024-01-09,156.42
205007,Kelly Burgess,30250561799920,VISA 13 digit,Citizens,2024-02-09,307.03
905614,Lisa Meadows,4333924527770813,JCB 15 digit,Citizens,2024-02-09,277.75
561391,Kayla Hayes,6011220975954247,Maestro,Citizens,2024-02-04,497.43
531691,Kevin Diaz,4833329847552,Maestro,Citizens,2024-03-11,458.08
607179,Chris Williams,3536129787888738,Discover,JPMC,2024-01-27,14.77
122995,Jared Le,4003831733376245,JCB 16 digit,JPMC,2024-01-06,606.87
534377,Melissa Merritt,4506171895073,VISA 19 digit,JPMC,2024-01-06,787.31
931496,Richard Ellis,4923258562437012,VISA 13 digit,Citizens,2024-02-27,352.5
195749,Chad Thompson,4900583315844736,JCB 16 digit,BOFA,2024-01-04,464.13
641682,Ryan Santos,3513151594453891,Discover,TD Bank,2024-01-21,661.38
408139,Courtney Torres,4929202829632,American Express,JPMC,2024-02-28,60.55
768269,Michael Pacheco,3511611055024079,JCB 16 digit,Citizens,2024-01-24,552.43
531691,Kevin Diaz,4833329847552,Maestro,Citizens,2024-02-03,654.32
173529,Kimberly Guzman,060484602630,VISA 19 digit,TD Bank,2024-02-24,927.78
751826,Mrs. Laura Faulkner,341335596120285,Mastercard,TD Bank,2024-03-09,166.24
245606,Logan Miller,4005817483418825473,JCB 15 digit,Citizens,2024-01-26,207.42
593875,Timothy Moreno,4244089534002,VISA 16 digit,Citizens,2024-03-08,265.5
426027,Nancy White,343590454689635,Mastercard,TD Bank,2024-01-01,20.57
